<Trait>	PC1	PC2	PC3	PC4
SG18	68.2853625091225	15.3078922237691	-4.43753268464682	-0.991479573610842
T232	33.0582503044447	13.2231504679498	-9.96845094899728	-1.64512099872024
T234	-20.7417215539509	-35.0279001468806	-14.9826570966018	12.4143054318884
T8	17.5324807718889	-4.71431066652714	-16.0819342561405	23.023621149592
TX303	-37.1446784297481	-34.8467930747134	-8.76194360951183	8.52461486258115
TX601	9.42782972130458	-16.7107359076638	-12.4634806724113	18.0852831466097
TZI10	52.1924256545372	0.9547577133922	0.483396601580828	19.3804017401555
TZI11	5.45021788871327	-18.1044469565365	-15.2814052814407	24.1728993455235
TZI16	53.7358068667151	13.3099100409504	1.40626568067504	7.14586776282294
TZI18	27.9768002866016	-11.1842514613933	-4.24853602246015	15.0983958591618
TZI25	57.5209413360587	19.999028542676	-6.85067938801688	3.39164809995845
TZI8@	51.737985059637	3.77136176578961	-0.604761302527375	12.3592581673694
TZI9	94.5625245012083	16.1232656296512	5.0321751421563	11.2588288153872
U267Y	-9.40167466297231	-24.1410984114601	-22.2435892274706	2.28180255732722
VA102	69.4554223232791	12.7022861173942	5.65438109821474	2.16615959804575
VA14	26.8709868499171	5.32988070628203	-2.97686986603266	-3.87160931052562
VA17	16.0540698170153	-4.06887935880142	13.1591768813163	-6.78651383268719
